CodigoMunicipio,MunicipioResidencia,Total_casos_dengue,POP_TOT,PIB_PER_CAPITA,IDH-M,GINI,IN055_AE,IN056_AE,IN024_AE,IN015_AE,IN022_AE,IN049_AE,IN016_AE,IN015_RS,Índice de pavimentação das vias públicas,CS001,Msau28,Mgrd06,Mgrd08,Mgrd11,IndiceSurto,Surto
351870,GUARUJA,8650,287634,32292.29,0.751,0.519,88.18,72.11,70.02,69.86,204.0,40.26,100.0,100.0,74.12,SIM,Sim,Sim,Sim,Sim,3007.2939916699697,True
351880,GUARULHOS,80939,1291771,55084.22,0.763,0.535,99.14,91.07,92.29,70.45,126.9,47.0,19.33,100.0,90.28,SIM,Sim,Sim,Sim,Não,6265.739051271471,True
351885,GUATAPARA,140,7320,31618.94,0.743,0.522,100.0,74.59,100.0,42.44,474.1,10.03,30.0,88.8,87.66,NAO,Sim,Não,Não,Não,1912.568306010929,True
351890,GUZOLANDIA,179,4246,17505.62,0.697,0.418,93.36,91.29,100.0,100.0,153.4,16.68,100.0,99.81,97.02,SIM,Sim,Não,Não,Não,4215.732454074423,True
351900,HERCULANDIA,99,9125,36890.4,0.727,0.453,90.93,90.85,99.37,42.87,580.5,0.6,100.0,90.93,90.8,SIM,Sim,Não,Não,Não,1084.931506849315,True
351905,HOLAMBRA,1471,15094,93777.73,0.793,0.547,100.0,100.0,100.0,100.0,336.1,19.87,100.0,100.0,95.84,SIM,Não,Não,Não,Sim,9745.594275871206,True
351907,HORTOLANDIA,5024,236641,77357.5,0.756,0.425,93.15,91.73,100.0,93.52,154.6,26.17,100.0,100.0,83.87,SIM,Não,Sim,Não,Sim,2123.047147366686,True
351910,IACANGA,658,10437,54825.02,0.745,0.398,84.36,75.92,90.14,80.0,293.1,37.8,100.0,94.32,95.11,SIM,Sim,Não,Não,Não,6304.493628437291,True
351920,IACRI,115,6131,50533.65,0.733,0.445,80.95,79.5,100.0,99.99,165.9,21.69,100.0,78.85,99.45,NAO,Sim,Não,Não,Não,1875.713586690589,True
351925,IARAS,67,8010,17261.62,0.674,0.526,63.4,62.33,72.44,99.99,126.0,24.68,100.0,44.74,82.18,SIM,Sim,Não,Não,Não,836.4544319600499,True
351930,IBATE,824,32178,32354.27,0.703,0.4,95.68,95.68,100.0,100.0,159.5,19.23,100.0,95.68,98.77,SIM,Sim,Não,Não,Não,2560.755795885387,True
351940,IBIRA,490,11690,25170.21,0.74,0.49,94.42,93.16,100.0,94.8,195.9,14.2,100.0,57.25,94.27,SIM,Sim,Não,Não,Não,4191.616766467066,True
351950,IBIRAREMA,520,6385,30862.28,0.708,0.435,91.45,91.45,100.0,75.4,206.1,25.23,100.0,91.45,98.48,NAO,Sim,Não,Não,Não,8144.087705559906,True
351960,IBITINGA,1824,60033,32137.74,0.747,0.448,92.14,94.5,99.62,73.72,199.8,71.47,0.0,100.0,98.75,NAO,Sim,Não,Não,Não,3038.328919094498,True
351970,IBIUNA,1841,75605,29609.37,0.71,0.498,36.2,14.6,55.6,36.95,187.9,36.84,100.0,59.52,76.8,NAO,Sim,Sim,Sim,Sim,2435.024138615171,True
